scheme_name,category,state,age_min,age_max,gender,income_limit,occupation,student_status,marital_status,social_category,farmer_status,disability_status,rural_urban,benefit,eligibility,official_website,last_verified
AICTE Swanath Scholarship Scheme,Education,All India,0,30,Any,,Student,Yes,Any,Any,No,Any,Any,Financial assistance for eligible technical education students,"For eligible students affected by COVID-19, wards of armed forces personnel, orphans, subject to AICTE rules",https://www.aicte-india.org/schemes/students-development-schemes/Swanath-Scholarship-Scheme,2026-09
FutureSkills Prime Incentive Program,Education,All India,18,60,Any,,Student,Yes,Any,Any,No,Any,Any,Incentives for approved digital skill courses,Eligibility depends on the current FutureSkills Prime incentive rules and approved courses,https://www.futureskillsprime.in/,2026-09
PM Kisan Samman Nidhi,Agriculture,All India,18,100,Any,,Farmer,No,Any,Any,Yes,Any,Any,Eligible farmer families receive financial support,Eligible landholding farmer families subject to PM-KISAN exclusion rules,https://pmkisan.gov.in/,2026-09
PM Ujjwala Yojana,Women Welfare,All India,18,100,Female,,Any,Any,Any,Any,Any,Any,Any,LPG connection support for eligible households,"Adult woman from an eligible poor household, subject to current scheme criteria",https://www.pmuy.gov.in/,2026-09
Aasara Pension,Social Welfare,Telangana,18,100,Any,,Any,Any,Any,Any,Any,Any,Any,Social security pension for eligible vulnerable groups,Residents of Telangana meeting the applicable pension category and income/eligibility conditions,https://aasara.telangana.gov.in/,2026-09
Gruha Jyothi,Utilities,Telangana,18,100,Any,,Any,Any,Any,Any,Any,Any,Any,Electricity subsidy/free power benefit subject to scheme limits,Eligible Telangana domestic electricity consumers subject to current eligibility and consumption conditions,https://energy.telangana.gov.in/,2026-09
Maha Lakshmi,Women Welfare,Telangana,18,100,Female,,Any,Any,Any,Any,Any,Any,Any,Women-focused welfare benefits under Telangana government programs,Eligibility depends on the applicable Maha Lakshmi component and current government guidelines,https://telangana.gov.in/,2026-09
Rythu Bharosa,Agriculture,Telangana,18,100,Any,,Farmer,No,Any,Any,Yes,Any,Any,Financial support for eligible farmers,Eligible Telangana farmers subject to current Rythu Bharosa guidelines,https://agriculture.telangana.gov.in/,2026-09
Indiramma Indlu,Housing,Telangana,18,100,Any,,Any,Any,Any,Any,Any,Any,Any,Housing assistance for eligible families,"Eligible Telangana households without adequate housing, subject to government selection criteria",https://indirammaindlu.telangana.gov.in/,2026-09
Rajiv Yuva Vikasam,Employment,Telangana,18,55,Any,,Unemployed,No,Any,Any,Any,Any,Any,Self-employment support for eligible youth,"Eligible Telangana youth meeting the current income, category, age and other scheme conditions",https://telangana.gov.in/,2026-09
