scheme_name,documents_required,how_to_apply,apply_at
AICTE Swanath Scholarship Scheme,"Aadhaar|Class 10/12 marksheet|Admission letter or fee receipt|Bank passbook (Aadhaar-linked)|Income certificate|Proof of eligible category (armed forces ward, orphan, COVID-affected)","Register on the National Scholarship Portal, fill the application, upload the documents and submit before the deadline. Your institution then verifies it (or the AICTE portal, as notified)","National Scholarship Portal (scholarships.gov.in), your school or college, AICTE website"
FutureSkills Prime Incentive Program,Aadhaar|Email ID and mobile number|Proof of education or employment|Bank details,"Create an account on the FutureSkills Prime portal, choose an approved course and complete it to claim the incentive as per current rules",futureskillsprime.in (online)
PM Kisan Samman Nidhi,Aadhaar|Land records (khata/pattadar passbook)|Bank passbook (Aadhaar-linked)|Mobile number,"Register on the PM-KISAN portal under Farmers Corner, or through a CSC or the agriculture office, then complete eKYC","pmkisan.gov.in, CSC, village agriculture officer"
PM Ujjwala Yojana,Aadhaar|Ration card|Bank passbook (Aadhaar-linked)|BPL or eligibility proof|Passport photo,Fill the KYC form at an LPG distributor or on the PMUY portal,"LPG distributor, pmuy.gov.in"
Aasara Pension,"Aadhaar|Age proof|Ration/food security card|Bank passbook (Aadhaar-linked)|Category proof (widow, disability, weaver, etc.)",Apply through Mee Seva or the local office for your pension category and get the application verified,"Mee Seva, MPDO or municipal office"
Gruha Jyothi,Aadhaar|White ration card|Electricity service connection number|Mobile number,"Apply with the documents at the Praja Palana or local government office, as currently notified","MPDO or municipal office, electricity office"
Maha Lakshmi,Aadhaar|White ration card|Bank passbook (Aadhaar-linked)|Residence proof,"Apply for the relevant component at the Praja Palana or local office, as currently notified",MPDO or municipal office
Rythu Bharosa,Pattadar passbook|Aadhaar|Bank passbook (Aadhaar-linked)|Mobile number,"Payments go to eligible farmers found in land records, so check your details and bank link with the Mandal agriculture officer",Mandal Agriculture Office
Indiramma Indlu,Aadhaar|White ration card|Residence proof|Land or plot documents (if you own a site)|Bank passbook (Aadhaar-linked),"Beneficiaries are selected through a survey, so apply or verify your details at the Gram Panchayat or municipal ward office","Gram Panchayat, municipal ward office"
Rajiv Yuva Vikasam,Aadhaar|Income certificate|Caste certificate (if applicable)|Residence proof|Education certificates|Project or business plan|Bank passbook (Aadhaar-linked),"Apply on the official Telangana portal in the notified window, upload the documents and wait for verification","Official Telangana government portal, district office"
Kalyana Lakshmi / Shaadi Mubarak,Aadhaar (bride and parent)|Income certificate|Caste certificate|Bride's age proof|Marriage proof or invitation|Bank passbook (Aadhaar-linked)|Residence proof,"Apply online through the ePASS portal or Mee Seva, and the officials verify it","Mee Seva, telanganaepass.cgg.gov.in"
Kisan Credit Card,Aadhaar|Land records|Passport photo|Address proof|Bank account details,"Apply at your bank branch or cooperative society, and the bank processes the credit limit","Bank branch, cooperative society"
Ayushman Bharat PM-JAY,Aadhaar|Ration card|Mobile number|Family ID,"Check eligibility on the PM-JAY website or at a CSC, then get your Ayushman card at a CSC or an empanelled hospital","CSC, empanelled hospital, pmjay.gov.in"
PM SVANidhi,Aadhaar|Vending certificate or Letter of Recommendation|Bank passbook (Aadhaar-linked)|Mobile linked to Aadhaar,Apply on the PM SVANidhi portal or at a CSC or bank. The municipality issues a Letter of Recommendation if you have no certificate,"pmsvanidhi.mohua.gov.in, municipal office, bank"
